"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7";"BNC_horizontal";1;"BNC";;;
2;"J3";"PinHeader_2x04_P2.54mm_Vertical";1;"Relay control";;;
3;"K4,K3,K1,K2,K5,K6";"RELAY_RY-12W-K";6;"RY-12W-K";;;
4;"TR9,TR10";"BN-73-6802-2-0";2;"BN-73-6802";;;
5;"TR11";"BN-73-6802-balun";1;"BN-73-6802";;;
6;"H3,H1,H2";"MountingHole_3.2mm_M3_DIN965_Pad";3;"M3";;;
7;"TR2,TR4,TR6";"BN-73-202-2-0";3;"BN-73-6802";;;
8;"TR3,TR5,TR1";"BN-73-6802-3-0";3;"BN-73-6802";;;
9;"J1";"PinHeader_2x06_P2.54mm_Horizontal";1;"RF Conn";;;
10;"TR7,TR8";"BN-73-202-2-0";2;"BN-73-202";;;
11;"NE1";"LED_D5.0mm_Clear";1;"Lamp_Neon";;;
12;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"limiter";;;
13;"F1";"Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm";1;"Polyfuse";;;
14;"C10,C6,C1,C5,C3,C2,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"100n";;;
15;"D4,D6,D10,D7,D1,D2,D9,D8,D3,D5";"D_SOD-123";10;"1N4148W";;;
16;"R15,R14,R13";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"100E";;;
17;"R17,R16,R18";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"68E";;;
18;"Q4,Q6,Q3,Q5,Q1,Q2";"SOT-23";6;"MMBT3904";;;
19;"R5,R3,R6,R1,R4,R2";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";6;"50E";;;
20;"C8,C9,C7,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"68p";;;
21;"R12,R8,R9,R10,R7,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";6;"3k3";;;
22;"R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"18E";;;
